indicator,type,note
c377f7bd0de98846e2ab06de9553be4e9e68f393992a76b75b6df36a4e5ab9f8,sha256,fcClient Uninstaller
5e2762927f0ebc4dbf5e39aaef073b99e731cff41a125157b2d19234d84db068,sha256,fcClient Loader file name: QQSetupEx_dlcore.dll
27f5df1d35744cf283702fce384ce8cfb2f240bae5d725335ca1b90d6128bd40,sha256,Encryped fcClientWD_x64.dll
6c2cf6ff7ad7c7a478b08def357e0ceafb23d6e643cfc52aa27d81b205656650,sha256,Probably v4.1.3
468fee7799eda30140832c8d205d832e40cc98e09ee0c7b4d62e398c20162bae,sha256,installer x64 v5.0.5dz
faa80e0692ba120e38924ccd46f6be3c25b8edf7cddaa8960fe9ea632dc4a045,sha256,v5.0.1
04f120488b87d307437033845175138abb44795624819911195f71cf5132ed89,sha256,v5.0.3 Installer
b20d1ebe9d39ae587af87076e24275cfc47de4cb4b6860607e25f61847a216d7,sha256,v5.0.7 installer
15908e00a2fd56a1d4ce7c5162aeaacbadf16f1f038a6b292e9ccee9b7553eb5,sha256,v5.0.8 installer
58ba6e58df27f999e0ef90006ca071356abc786d46390a4a059a5855037c3d39,sha256,v5.0.8 installer
6db73d48041a069d42dc8625c59754cba2760189b9a6412a3986411cd3a0e573,sha256,v6.0.0 installer
eb0820b6cbd6f5172bbe2c94dff8e7c13ad6276c98f36c34391c9ec69c08b271,sha256,v6.0.0 installer
84e915f0bc8c5fad535a2951044c1b1a280ca65f406f1d85f816f641cebe5843,sha256,v6.0.3 rootkit driver
58fec43a292c4f5e58c0b6b512bb6186def200eff3b3f09fc493c671c65f96ff,sha256,hcClient loader file name: msedgeupdate.dll
c853183e1a148cf7ec7d4dc3b48063e4d59494c042935bbcedda13b06be6e072,sha256,FrowCross v5.0.5dz file name: msedgeupdate.dat
cc249852a04308ca7df7729bd767bfe44f0cc75e8d8a6958c1505b8e0c31ac4c,sha256,hcClient loader file name: msedgeupdate.dll
675c5d0c02c757f488a24956c777befc3ed2930964770fdb918563d1e7d13ca1,sha256,FlowThrough v7.0.0 file name: msedgeupdate.dat
88649e3b341a1f8b11ae2f535bff0c24c1582604eafbd3df79044374bab6ba17,sha256,hcClient loader file name: msedgeupdate.dll
2b5a821407a0b1a6d4e5d1c59826a386a6de062af13e2f5f7c8e9b27a341a9d6,sha256,FlowThrough v7.0.0 file name: msedgeupdate.dat
114.55.109.199,c2,v4.1.3
101.99.74.234,c2,v5.0.1
188.131.233.27,c2,v5.0.1
43.248.136.214,c2,v5.0.8
103.96.148.227,c2,v5.0.8
154.220.2.136,c2,"v6.0.3, v6.0.0, v5.0.7"
103.139.1.141,c2,v5.0.5dz (2020)
47.111.22.65,c2,v6.0.0 
103.139.2.109 ,c2,v5.0.5dz (2022)
207.180.206.216,c2,v7.0.0